Agencies	Counter
NHLBI NIH HHS	18390
Wellcome Trust	2727
NIDDK NIH HHS	4011
NIAMS NIH HHS	1325
NIGMS NIH HHS	929
NIA NIH HHS	5838
CIHR	108
NIMH NIH HHS	3583
Medical Research Council	6565
NIEHS NIH HHS	608
Diabetes UK	8
European Research Council	73
NHGRI NIH HHS	2640
NICHD NIH HHS	757
NEI NIH HHS	689
Biotechnology and Biological Sciences Research Council	182
Department of Health	311
NINDS NIH HHS	1058
British Heart Foundation	627
NCATS NIH HHS	1215
NCI NIH HHS	6901
NIDA NIH HHS	1244
NIH HHS	400
CCR NIH HHS	63
WHI NIH HHS	598
Cancer Research UK	891
Ministry of Health and Welfare	3
Japan Society for the Promotion of Science (JSPS)	4
Japan Agency for Medical Research and Development (AMED)	17
Ministry of Health & Welfare of the Republic of Korea	1
Fondo de Investigación Sanitaria	4
ISCIII RETICS programs	2
Ramón y Cajal Program	1
ISCIII and ESF	1
RETICS Program	1
ISCIII and ERDF	1
Instituto de Salud Carlos III	8
European Social Fund	1
NIAID NIH HHS	1406
Peter Boris Chair in Addictions Research	2
NCCIH NIH HHS	1
NIAAA NIH HHS	1148
U.S. Department of Health &amp; Human Services | NIH | National Heart, Lung, and Blood Institute (NHLBI)	3
Product and Process Development Grant from the Sanquin Blood Supply Foundation	1
NIMHD NIH HHS	252
NIBIB NIH HHS	139
NIDCR NIH HHS	488
National Health and Medical Research Council	8
NHMRC Fellowship Scheme	3
Chief Scientist Office	303
Consejo Nacional de Ciencia y Tecnología	1
Instituto Nacional de Medicina Genomica	1
National Institutes of Health/National Cancer Institute	1
U.S. Department of Health &amp; Human Services | NIH | National Human Genome Research Institute (NHGRI)	9
U.S. Department of Health &amp; Human Services | NIH | National Center for Advancing Translational Sciences (NCATS)	1
Wellcome Trust Career Development Fellowship	1
Swiss National Science Foundation	2
Agence Nationale de la Recherche	3
NLM NIH HHS	133
Agencia Nacional de Promoción Científica y Tecnológica	1
Johns Hopkins Center for Inherited Disease Research	1
NCBDD CDC HHS	31
RRD VA	11
NCCDPHP CDC HHS	70
NCRR NIH HHS	1893
ARRA NIH HHS	10
Hrvatska Zaklada za Znanost	4
Ministarstvo Obrazovanja, Znanosti i Sporta	1
Sixth Framework Programme	1
Seventh Framework Programme	2
World Health Organization	8
Arthritis Research UK	113
Versus Arthritis	59
Ministry of Health, Labour, and Welfare Science Research Grant	2
U.S. Department of Health &amp; Human Services | NIH | National Institute of Dental and Craniofacial Research (NIDCR)	3
Japan Agency for Medical Research and Development	18
Ministry of Health, Labour and Welfare	1
Grant-in-Aid for Cancer Research	1
National Cancer Research and Development Fund	1
Japan Society for the Promotion of Science	12
Ministry of Education, Culture, Sports, Science and Technology	3
National Institutes of Health	13
Translation research Institute at UAMS	1
Intramural NIH HHS	838
Austrian Science Fund FWF	12
MRF	21
CSRD VA	40
BLRD VA	74
German Science Foundation	1
DFG	2
University of Lübeck	1
Conseil Régional, Île-de-France	1
MESA	14
GENEVA	3
GF	8
SFI-DfE	1
Northern Ireland Kidney Research Fund	1
National Institute of Allergy and Infectious Diseases	3
Irish Research Council and Punchestown Kidney Research Fund	1
U.S. Department of Health &amp; Human Services | NIH | National Cancer Institute (NCI)	1
Okasan Kato Culture Promotion Foundation	1
Hitachi Global Foundation	1
Core Research for Evolutional Science and Technology	1
Swedish Research Council	5
Almirall	1
NIDCD NIH HHS	49
National Research Foundation of Korea	19
Korea Institute of Science and Technology Information	1
Agency for Science, Technology and Research (A*STAR)	1
European Union	1
Joshua L. and Lisa Z. Greer Endowed Chair in IBD Genetics	2
Korea Health Industry Development Institute	1
PHS HHS	552
NINR NIH HHS	44
Wake Forest School of Medicine	1
AHRQ HHS	13
National Center for Advancing Translational Studies	1
National Centre for the Replacement, Refinement and Reduction of Animals in Research	3
FIC NIH HHS	127
Ministry of Health and Welfare of Taiwan	1
Higher Education Sprout Project by the Ministry of Education in Taiwan	1
Japan Osteoporosis Foundation	1
Korea Centers for Disease Control and Prevention	1
Council of Scientific and Industrial Research (CSIR)	8
Terveyden Tutkimuksen Toimikunta	2
Luonnontieteiden ja Tekniikan Tutkimuksen Toimikunta	1
NordForsk	1
Research and Development Corporation of Newfoundland and Labrador	1
Action on Hearing Loss	1
Worldwide Cancer Research	7
Parkinson's UK	51
 CIHR	139
The Dunhill Medical Trust	13
Blood Cancer UK	6
Autism Speaks	4
Howard Hughes Medical Institute	60
Canadian Institutes of Health Research	30
Multiple Sclerosis Society	6
NCHHSTP CDC HHS	2
Telethon	5
Breast Cancer Now	17
ORD VA	7
Alzheimer's Society	10
CSR NIH HHS	3
American Heart Association-American Stroke Association	15
OAPP OASH HHS	1
Prostate Cancer UK	3
HSRD VA	6
RNID	2
MRC	4
Yonsei University College of Medicine	1
Korean Government	1
Office of Extramural Research, National Institutes of Health (OER)	2
National Cancer Center	2
Office of Research and Development, Department of Veterans Affairs	1
"EC | EC Seventh Framework Programm | FP7 Ideas: European Research Council (FP7-IDEAS-ERC - Specific Programme: ""Ideas"" Implementing the Seventh Framework Programme of the European Community for Research, Technological Development and Demonstration Activities (2007 to 2013))"	1
the Research Program of the Korea Food Research Institute (KFRI), funded by the Ministry of Science and ICT.	1
CLC NIH HHS	12
MEXT | JST | Core Research for Evolutional Science and Technology (CREST)	2
MEXT | Japan Science and Technology Agency (JST)	1
MEXT | Japan Society for the Promotion of Science (JSPS)	3
National Heart, Lung, and Blood Institute (US)	11
National Institutes of Health (US)	4
National Human Genome Research Institute (US)	1
National Institute for Health Research	2
National Eye Research Centre	1
Wellcome Trust (Wellcome)	12
Department of Health | National Health and Medical Research Council (NHMRC)	4
DH | NIHR | Health Services Research Programme (NIHR Health Services Research Programme)	2
Department of Education and Training | Australian Research Council (ARC)	1
Motor Neurone Disease Association	36
American Cancer Society	1
ODCDC CDC HHS	1
Bill and Melinda Gates Foundation	1
Conselho Nacional de Desenvolvimento Científico e Tecnológico	1
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior	1
Mobilidade Santander project	1
Henry Ford Research Foundation	1
Generalitat Valenciana	9
Fundació La Marató de TV3	4
Spanish Ministry of Health (Instituto de Salud Carlos III) and the Ministerio de Economía y Competitividad-Fondo Europeo de Desarrollo Regional (FEDER)	22
University Jaume I	7
The Rei Jaume I Award for Medical Research 2018	1
Autism Speaks (Autism Speaks, Inc.)	1
Eunice Kennedy Shriver National Institute of Child Health and Human Development	10
RCUK | Medical Research Council (MRC)	9
ILSI Health and Environmental Sciences Institute	1
Ministry of Science and Technology of the People's Republic of China	3
National Natural Science Foundation of China	52
China Association for Science and Technology	1
Foundation for the National Institutes of Health	10
U.S. Department of Veterans Affairs	3
International Science and Technology Cooperation Programme	1
Shenzhen Municipal of Government of China	2
European Regional Development Fund	3
Interreg	1
Medical Research Council  [UK]	2
Medical Research Council [UK]	1
EPA	8
Rei Jaume I Award for Medical Research 2018	1
US Department of Agriculture, Agriculture Research Service	2
U.S. Department of Defense	2
National Heart, Lung, and Blood Institutes	1
Fundación Científica Asociación Española Contra el Cáncer	1
Hrvatska Zaklada za Znanost (Croatian Science Foundation)	2
Ministarstvo Znanosti, Obrazovanja i Sporta (Ministry of Science, Education and Sports)	1
Ministry of Science, Information and Communication Technologies and Future Planning of the Korea Government	1
National Health and Medical Research Council (AU)	2
The Lundbeck Foundation, Denmark	2
Human Animal Bond Research Institute	1
Université de Montréal Beaulieu-Saucier Chair in Pharmacogenomics	1
Montreal Heart Institute Foundation	1
U.S. Department of Health & Human Services | NIH | National Heart, Lung, and Blood Institute (NHLBI)	6
U.S. Department of Health & Human Services | NIH | National Institute on Minority Health and Health Disparities (NIMHD)	1
Bundesministerium für Bildung und Forschung (Federal Ministry of Education and Research)	13
EC | Horizon 2020 Framework Programme (EU Framework Programme for Research and Innovation H2020)	5
Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung (Swiss National Science Foundation)	1
Deutsche Forschungsgemeinschaft (German Research Foundation)	17
Department of Health [UK]	1
Medical Research Council, UK and GlaxoSmithKline	1
NIHR Biomedical Research Centre for Mental Health at the South London and Maudsley NHS Foundation Trust and Institute of Psychiatry, King’s College London	1
European Commission Framework 6 grant, EC Contract Ref	1
Barts Charity and International Bipolar Foundation	1
Canadian Institutes for Health Research	2
Canadian Institutes for Health Research 	2
Brain and Behaviour Research Foundation (NARSAD Young Investigator Awards	1
Ministry of Science and Technology, Taiwan	1
Tri-Service General Hospital	2
American Diabetes Association	1
Generalitat de Catalunya (Government of Catalonia)	1
EC | Directorate-General for Employment, Social Affairs and Inclusion | European Social Fund (Fondo Social Europeo)	1
Ministry of Economy and Competitiveness | Instituto de Salud Carlos III (Institute of Health Carlos III)	1
National Heart, Lung, and Blood Institute	2
National Institute of Environmental Health Sciences	1
EC | Seventh Framework Programme (EC Seventh Framework Programme)	1
CDC HHS	15
Natural Science Foundation of Shandong Province	2
Key research and development program of Shandong Province	1
Innovation Project of Shandong Academy of Medical Sciences	1
Shandong Provincial Advanced Taishan Scholar Construction Project	1
The National Institute of Neurological Disorders and Stroke (NINDS)	1
Taipei Tzu Chi Hospital, Buddhist Tzu Chi Medical Foundation	1
Buddhist Tzu Chi Medical Foundation Academic Advancement	1
National Science Council	2
Natinal taiwan univeristy hospital	1
UNC Clinical and Translational Science Award	1
Technology Development Program funded by the Ministry of SMEs and Startups(MSS, Korea).	1
NIOSH CDC HHS	5
ZonMw	1
Free State of Saxony	3
Rhineland-Palatinate	1
Deutsche Akademie der Naturforscher Leopoldina - Nationale Akademie der Wissenschaften	1
Bundesministerium für Bildung und Forschung	9
Deutsche Forschungsgemeinschaft	4
Helmut-Ecker-Foundation	1
the Ministry of Science, ICT, and Future Planning	5
Excellent Youth Foundation of Jiangsu	1
Top-notch Academic Programs Project of Jiangsu Higher Education Institutions	1
Ministry of Health and Welfare (Ministry of Health, Welfare and Family Affairs)	2
Government of Jiangsu Province	2
ACL HHS	6
Medical Research Council (UK), European Commission Framework 6 project EUROSPAN (Contract No.LSHG-CT-2006-018947), the Republic of Croatia Ministry of Science, Education and Sports research grant (216-1080315-0302), the Croatian Science Foundation (grant 8875), CEKOM (Ministry of Economy, Entrepreneurship and Crafts) and the Research Centre of Excellence in Personalized Medicine (Ministry of Science and Education)	1
The Deanship of Scientific Research	1
Imam Abdulrahman Bin Faisal University	1
National Key Research and Development Program	2
Natural Science Foundation of Henan Province	1
Shanghai Municipal Commission of Science and Technology Research Project	1
the National Research Foundation of Korea (NRF) funded by the Ministry of Science and ICT	1
Seoul National University Bundang Hospital (SNUBH) Research Fund	1
Basic Science Research Program through the National Research Foundation of Korea (NRF) funded by the Ministry of Education	1
U.S. Department of Health &amp; Human Services | NIH | National Institute on Aging (U.S. National Institute on Aging)	4
Max Planck Society	1
Netherlands Organization for Scientific Research	1
French National Research Agency	1
Deanship of Scientific Research, Imam Abdulrahman Bin Faisal University	4
Korean Health Technology R&amp;D Project	1
British Heart Foundation (BHF)	4
Doris Duke Charitable Foundation	6
Intramural VA	3
OCPHP CDC HHS	1
Ministry of Science and Technology, Taipei, Taiwan	2
Bristol-Myers Squibb Co.	1
Academia Sinica, Taipei, Taiwan	1
Intramural CDC HHS	1
National Research Foundation of Korea (KR)	1
Department of Defense	2
National Institutes of Drug Abuse	1
National Institutes of Mental Health	1
Norges Forskningsråd	4
NHGRI Gene Environment Association Studies (GENEVA)	3
National Heart, Lung, and Blood Institute (NHLBI)	11
National Center for Advancing Translational Sciences, CTSI	1
NHLBI Candidate-Gene Association Resource	1
NIAAA Division of Intramural Clinical and Biological Research	1
US Department of Veterans Affairs VISN1 Career Development Award	1
US Veterans Affairs Connecticut and Veterans Affairs Philadelphia Mental Illness Research, Education and Clinical Centers	2
Lundbeck Foundation	1
James R Cerhan is supported by NIH grants	2
Nicola Camp reports support from	1
Partial support for all datasets within the UPDB is provided by the Huntsman Cancer Institute (HCI) and the HCI Comprehensive Cancer Center Support grant	1
