GrantIDs	Counter
P30 CA046592	4
T32 CA083654	2
R01 GM099143	2
T32 GM008425	2
M01 RR000750	12
M01 RR000052	35
UL1 TR003098	8
U01 GM061373	2
M01 RR000042	3
HHSN271201600005C	1
HHSN271201600005I	1
Z01 AG000675	2
P50 GM115318	3
R56 DK101478	8
P50GM115318-01	1
I01-BX003362	1
IK2 CX001780	10
I01 BX003362	11
IK2-CX001780	1
R01 DK101478	9
U54 DE023789	3
P30 DK042086	2
UM1 HG008895	5
U24 DK062429	4
U01 DK062432	14
U01 DK062429	17
U01 DK062422	16
U01 DK062423	15
U54 HG003067	11
U01 DK062413	22
U01 AI067068	4
P01 DK046763	16
U01 DK062420	20
U01 DK062431	16
R01 DK087694	3
R01 HL120393	137
R01 DK117445	18
R01 HG010869	1
R21 HL123677	20
R01 MD012765	21
R01 HL117626	30
R01 HL149683	6
K01 AG059898	2
R01 HL131136	2
R01 HG009974	9
R21 HL140385	11
P30 DK072488	100
HHSN268201800001C	28
D43 TW008330	2
092097/Z/10/Z	1
D43TW008330-01A1	1
U54 HG006938	5
U54HG006938	1
RG2000010	1
RG/13/13/30194	45
CS/14/2/30841	1
RG/18/13/33946	28
U54 GM115428	22
RC2 HL102925	5
MC_PC_17228	304
RG/18/10/33842	1
RC2 HL102923	4
RC2 HL102926	5
HHSN268201300048C	26
R01 HL127564	20
RC2 HL102924	5
HHSN268201300049C	27
T32 GM007205	7
HHSN268201300047C	26
HHSN268201300050C	28
RC2 HL103010	4
HHSN268201300046C	24
K08 HG010155	4
MC_QA137853	356
Thrive FP00000078	1
E0210501-01	2
R01 HG010480	5
R03 DE029254	3
U24 OD023382	3
R01AG054628	1
R01 AG054628	6
P2C HD042849	4
MR/R024065/1	9
N01HC95165	77
HHSN268201500003I	21
N01HC85083	95
RC2 MH089951	37
U01 HG007417	34
R01 HL103612	60
UL1 TR000445	45
R01 MH081802	34
N01HC95160	76
UL1 RR025005	180
N01HC95163	74
U01 HL080295	165
RC2 MH089995	33
UL1 TR001079	58
U01 HL130114	90
HHSN268201700001I	28
HHSN268200800007C	79
U19 HL065962	33
N01HC95169	96
HHSN268201800015I	14
T32 CA160056	7
R01 HL086694	169
S10 RR025141	20
R01 DK110113	14
HHSN268201700004I	28
R01 DK107786	15
R01 HL087652	155
U01 HG004402	182
N01HC95164	76
N01HC95162	77
N01HC85086	156
R01 HL105756	263
N01HC95168	75
T32 HL129982	32
R25 GM062459	8
N01HC55222	155
P30 DK063491	270
HHSN268201200036C	102
HHSN268201700002I	28
P20 MD006899	18
R01 DK101855	24
N01HC95159	83
R01 LM010098	24
R01 HD074711	14
